field_type,date,impressions_sum_sum,clicks_sum_sum,cost_micros_sum_sum
Sitelink,2022-03-11,8821009,1078980,34371147743614
Sitelink,2022-03-12,10106679,1271718,34383758858633
Sitelink,2022-03-13,10340743,1252971,31590423947305
Sitelink,2022-03-14,9615949,1213802,43863204587523
Sitelink,2022-03-15,8618542,1140242,39084419456142
Sitelink,2022-03-16,8430679,1137961,42677809256706
Sitelink,2022-03-17,8692552,1145027,42650025977409
Sitelink,2022-03-18,9085224,1186404,41544650245192
Sitelink,2022-03-19,8988056,1123794,20639870893791
Sitelink,2022-03-20,8897494,1151722,20823760757243
Sitelink,2022-03-21,9242769,1144700,33597749403544
Sitelink,2022-03-22,9254998,1106952,32682326075350
Sitelink,2022-03-23,9114758,1140555,32854728529630
Sitelink,2022-03-24,8870995,1139932,35165280020936
Sitelink,2022-03-25,8951136,1149666,40678793098921
Sitelink,2022-03-26,8321318,1111809,35327686047648
Sitelink,2022-03-27,8614965,1087055,30017175861671
Sitelink,2022-03-28,8898093,1126711,39326240615822
Sitelink,2022-03-29,8532380,1120168,35279158573092
Sitelink,2022-03-30,8122390,1088664,33841623422988
Sitelink,2022-03-31,7866202,1103478,30615022698789
Sitelink,2022-04-01,7940319,1204254,29839675427786
Sitelink,2022-04-02,8137283,1192172,27708435097688
Sitelink,2022-04-03,7802524,1173923,26512377455136
Sitelink,2022-04-04,8078974,1120601,34276733047689
Sitelink,2022-04-05,7994442,1097762,33201171278593
Sitelink,2022-04-06,7589931,1058429,32043337684976
Sitelink,2022-04-07,7511353,1043288,32263847217729
Sitelink,2022-04-08,7176644,1021790,27248282894208
Sitelink,2022-04-09,7324636,1027657,22697911648825
Sitelink,2022-04-10,7124971,1033990,25295899087772
Sitelink,2022-04-11,7357588,1026255,29304847740699
Sitelink,2022-04-12,3093608,412187,32286792616678
Sitelink,2022-04-13,101,19,4570000
StructuredSnippet,2022-01-01,1916,130,2762760000
StructuredSnippet,2022-01-02,1857,147,4616020000
StructuredSnippet,2022-01-03,2901,215,10634120000
StructuredSnippet,2022-01-04,2861,263,12837480000
StructuredSnippet,2022-01-05,2888,170,8124990000
StructuredSnippet,2022-01-06,2569,186,9961580000
StructuredSnippet,2022-01-07,2790,181,8981960000
StructuredSnippet,2022-01-08,2213,143,2434140000
StructuredSnippet,2022-01-09,1789,100,2100510000
StructuredSnippet,2022-01-10,3093,242,9091320000
StructuredSnippet,2022-01-11,3180,238,9220640000
StructuredSnippet,2022-01-12,2880,204,11965810000
StructuredSnippet,2022-01-13,2889,199,11381330000
StructuredSnippet,2022-01-14,2716,206,8623060000
StructuredSnippet,2022-01-15,2014,124,2561440000
StructuredSnippet,2022-01-16,1910,120,3347510000
StructuredSnippet,2022-01-17,2753,173,8452360000
StructuredSnippet,2022-01-18,2300,151,10443430000
StructuredSnippet,2022-01-19,2554,164,9355480000
StructuredSnippet,2022-01-20,2554,157,10505910000
StructuredSnippet,2022-01-21,2249,142,8207470000
StructuredSnippet,2022-01-22,1673,116,3395560000
StructuredSnippet,2022-01-23,1522,114,4708890000
StructuredSnippet,2022-01-24,2786,177,10882640000
StructuredSnippet,2022-01-25,2799,194,12500710000
StructuredSnippet,2022-01-26,2797,206,13647640000
StructuredSnippet,2022-01-27,2500,185,12257670000
StructuredSnippet,2022-01-28,2564,203,11923290000
StructuredSnippet,2022-01-29,1622,117,2930180000
StructuredSnippet,2022-01-30,1667,104,3397770000
StructuredSnippet,2022-01-31,2501,165,9783100000
StructuredSnippet,2022-02-01,2965,208,9317360000
StructuredSnippet,2022-02-02,2889,231,10400470000
